CAS,Name,MW,VP (mm Hg),log VP,Estimate VP (mm Hg),log VP est,Error,VP temp (degC),VP type,Reference
23505-41-1,PIRIMIPHOS ETHYL,333.39,0.00029,-3.537602002101,1.04e-05,-4.9829666607012,-1.4453646586002,25,EXP,"TOMLIN,C (1997)"
23560-59-0,Heptenophos,250.62,0.00128,-2.8927900303521,0.000926,-3.0333890133181,-0.140598982966,25,EXP,"TOMLIN,C (1997)"
23564-05-8,THIOPHANATE-METHYL,342.4,7.13e-08,-7.1469104701481,9.91e-09,-8.0039263455147,-0.857015875366599,25,EXP,"TOMLIN,C (1997)"
23783-98-4,"Phosphoric acid, (1Z)-2-chloro-3-(diethylamino)-",299.69,2.5e-05,-4.602059991328,3.3e-05,-4.4814860601221,0.1205739312059,20,EXP,"BEYNON,KI ET AL. (1973)"
23947-60-6,Ethyrimol,209.29,2e-06,-5.698970004336,3.58e-06,-5.4461169733561,0.2528530309799,25,EXP,"TOMLIN,C (1997)"
23950-58-5,PRONAMIDE,256.13,4.35e-07,-6.3615107430454,1.05e-06,-5.9788107009301,0.3827000421153,25,EXP,"TOMLIN,C (1994)"
24017-47-8,TRIAZOPHOS,313.32,2.9e-06,-5.537602002101,5.11e-06,-5.2915790998653,0.2460229022357,30,EXP,"TOMLIN,C (1997)"
24151-93-7,PIPEROPHOS,353.49,2.4e-07,-6.6197887582884,1.64e-06,-5.7851561519523,0.8346326063361,20,EXP,"TOMLIN,C (1997)"
24347-58-8,"2,3-BUTANEDIOL (L)",90.123,0.55,-0.259637310505756,0.172,-0.764471553092451,-0.504834242586695,25,EXP,"RIDDICK,JA ET AL. (1986)"
24468-13-1,2-Ethylhexyl Chloroformate,192.69,0.168,-0.774690718274137,0.254,-0.595166283380062,0.179524434894075,25,EXT,"DAMLE,SB (1993)"
24579-73-5,Propamocarb,188.27,0.0548,-1.2612194415156,0.0267,-1.5734887386354,-0.3122692971198,25,EXP,"TOMLIN,C (1997)"
