CAS Number,Name,WSol (mg/L),WS Temp,WS type,Wsol Reference,VP (mm Hg),VP Temp,VP type,VP Reference,HenryLC (atm-m3/mole),HLC Temp,HLC type,HenryLC Reference
50-00-0,FORMALDEHYDE,400000.0,20.0,EXP,"PICKRELL,JA ET AL. (1983)",3890.0,25.0,EXT,"BOUBLIK,T ET AL. (1984)",3.37e-07,25.0,EXP,"BETTERTON,EA & HOFFMAN,MR (1988)"
50-21-5,LACTIC ACID,1000000.0,,EXP,MERCK INDEX (2001),0.0813,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",8.13e-08,25.0,EST,VP/WSOL
50-29-3,"P,P'-DDT",0.0055,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",1.6e-07,20.0,EXP,"BIDLEMAN,TF & FOREMAN,WT (1987)",8.32e-06,25.0,EXP,"ALTSCHUH,J ET AL. (1999)"
50-31-7,"2,3,6-TRICHLOROBENZOIC ACID",7700.0,22.0,EXP,"MARTIN,H & WORTHING,CR (1977)",0.00055,25.0,EXP,"FREAR,DS (1976)",2.12e-08,25.0,EST,VP/WSOL
50-32-8,BENZO(A)PYRENE,0.00162,25.0,EXP,"MAY,WE ET AL. (1983)",5.49e-09,25.0,EXT,"MURRAY,JJ ET AL. (1974)",4.57e-07,25.0,EXP,"TEN HULSCHER,TEM ET AL. (1992)"
50-36-2,COCAINE,1800.0,22.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",1.91e-07,25.0,EXP,"LAWRENCE,AH ET AL. (1984)",4.24e-11,25.0,EST,VP/WSOL
50-65-7,NICLOSAMIDE,1.6,20.0,EXP,"TOMLIN,C (1997)",1.49e-11,20.0,EXP,"TOMLIN,C (1994)",4e-12,20.0,EST,VP/WSOL
50-78-2,ACETYLSALICYLIC ACID,4600.0,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",2.52e-05,25.0,EXP,"EISENREICH,SJ ET AL. (1981)",1.3e-09,25.0,EST,VP/WSOL
51-28-5,"2,4-DINITROPHENOL",2790.0,20.0,EXP,"SCHWARZENBACH,RP ET AL. (1988)",0.00039,20.0,EXP,"SCHWARZENBACH,RP ET AL. (1988)",8.6e-08,20.0,EXP,"TREMP,J ET AL. (1993)"
51-75-2,Mechlorethamine,12000.0,25.0,EXP,BEILSTEIN,0.17,25.0,EXP,"OPRESKO,DM ET AL. (1998)",2.91e-06,25.0,EST,VP/WSOL
51-79-6,O-ETHYL CARBAMATE (URETHANE),480000.0,15.0,EXP,"SEIDELL,A (1941)",0.262,25.0,EXT,"PERRY,RH & GREEN,D (1984)",6.43e-08,25.0,EST,VP/WSOL
52-51-7,"1,3-Propanediol, 2-bromo-2-nitro-",250000.0,22.0,EXP,"YALKOWSKY,SH & HE,Y (2003)",1.26e-05,20.0,EXP,"TOMLIN,C (1997)",1.33e-11,20.0,EST,VP/WSOL
52-68-6,TRICHLORFON,120000.0,25.0,EXP,"WAUCHOPE,RD ET AL. (1991A)",7.8e-06,20.0,EXP,"FREED,VH ET AL. (1977)",1.7e-11,20.0,EST,VP/WSOL
53-19-0,"O,P'-DDD",0.1,25.0,EXP,"BIGGAR,JW & RIGGS,RI (1974)",1.94e-06,30.0,EXP,"SUNTIO,LR ET AL. (1988)",8.17e-06,25.0,EST,VP/WSOL
53-70-3,"DIBENZ(A,H)ANTHRACENE",0.00249,25.0,EXP,"HASSETT,JJ ET AL. (1980)",9.55e-10,25.0,EXT,"LEI,YD ET AL. (2002)",1.41e-07,25.0,EST,VP/WSOL
55-18-5,N-NITROSODIETHYLAMINE,106000.0,24.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.86,20.0,EXP,"KLEIN,RG (1982)",3.63e-06,25.0,EXP,"MIRVISH,SS ET AL. (1976)"
55-21-0,BENZAMIDE,13500.0,25.0,EXP,"SEIDELL,A (1941)",0.000939,25.0,EST,"NEELY,WB & BLAU,GE (1985)",2.45e-10,25.0,EXP,"ABRAHAM,MH ET AL. (1994)"
55-38-9,FENTHION,7.5,20.0,EXP,"BOWMAN,BT & SANS,WW (1983)",1.05e-05,25.0,EXP,"TOMLIN,C (1997)",1.46e-06,20.0,EST,VP/WSOL
55-63-0,"1,2,3-PROPANETRIOL TRINITRATE",1380.0,20.0,EXP,"SEIDELL,A (1941)",0.0004,25.0,EXT,"KEMP,MD ET AL. (1957)",8.66e-08,25.0,EST,VP/WSOL
55-91-4,ISOFLUROPHATE,15400.0,25.0,EXP,MERCK INDEX (1996),0.579,20.0,EXP,MERCK INDEX (1996),9.11e-06,20.0,EST,VP/WSOL
56-23-5,CARBON TETRACHLORIDE,793.0,25.0,EXP,"HORVATH,AL (1982)",115.0,25.0,EXP,"BOUBLIK,T ET AL. (1984)",0.0276,25.0,EXP,"LEIGHTON,DTJR & CALO,JM (1981)"
56-35-9,BIS(TRI-N-BUTYLTIN) OXIDE,19.5,,EXP,"BLUNDEN,SJ ET AL. (1984)",7.5e-06,20.0,EXP,"BLUNDEN,SJ ET AL. (1984)",3.02e-07,25.0,EST,VP/WSOL
56-36-0,Tributyl tin acetate,65.0,,EXP,"BLUNDEN,SJ ET AL. (1984)",0.0027,20.0,EXP,"BLUNDEN,SJ ET AL. (1984)",1.91e-05,20.0,EST,VP/WSOL
56-38-2,PARATHION,11.0,20.0,EXP,"TOMLIN,C (1997)",6.68e-06,20.0,EXP,"TOMLIN,C (1997)",2.98e-07,25.0,EXP,"TOMLIN,C (1997)"
56-49-5,3-METHYLCHOLANTHRENE,0.0029,25.0,EXP,"MACKAY,D & SHIU,WY (1977)",4.3e-08,25.0,EXT,"LEI,YD ET AL. (2002)",5.24e-06,25.0,EST,VP/WSOL
56-55-3,BENZ(A)ANTHRACENE,0.0094,25.0,EXP,"MAY,WE ET AL. (1978)",2.1e-07,25.0,EXP,"SONNEFELD,WJ ET AL. (1983)",1.2e-05,25.0,EXP,"BAMFORD,HA ET AL. (1999)"
56-72-4,COUMAPHOS,1.5,20.0,EXP,"MELNIKOV,NN (1971)",9.7e-08,20.0,EXP,"TOMLIN,C (1997)",3.09e-08,20.0,EST,VP/WSOL
56-81-5,GLYCEROL,1000000.0,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.000168,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",1.73e-08,25.0,EXP,"HINE,J & MOOKERJEE,PK (1975)"
57-06-7,3-ISOTHIOCYANATO-1-PROPENE,2000.0,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",3.7,30.0,EXP,"BOUBLIK,T ET AL. (1984)",0.000241,25.0,EST,VP/WSOL
57-10-3,PALMITIC ACID,0.04,25.0,EXP,"ROBB,ID (1966)",3.8e-07,25.0,EXT,"DAUBERT,TE & DANNER,RP (1989)",2e-05,25.0,EST,VP/WSOL
57-11-4,STEARIC ACID,0.597,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",7.22e-07,25.0,EXT,"DAUBERT,TE & DANNER,RP (1989)",4.76e-07,25.0,EST,VP/WSOL
57-13-6,UREA,545000.0,25.0,EXP,"YALKOWSKY,SH (1989)",1.2e-05,25.0,EXT,"JONES,AH (1960)",1.74e-12,25.0,EST,VP/WSOL
57-55-6,"1,2-PROPANEDIOL",1000000.0,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.129,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",1.29e-08,25.0,EST,VP/WSOL
57-74-9,CHLORDANE,0.056,25.0,EXP,"SANBORN,JR ET AL. (1976)",9.75e-06,25.0,EXP,"TOMLIN,C (1994)",4.86e-05,25.0,EXP,"WARNER,HP ET AL. (1987)"
57-97-6,"7,12-DIME-BENZ(A)ANTHRACENE",0.061,25.0,EXP,"MACKAY,D & SHIU,WY (1977)",6.8e-07,25.0,EST,"LEI,YD ET AL. (2002)",3.76e-06,25.0,EST,VP/WSOL
58-89-9,GAMMA-HEXACHLOROCYCLOHEXANE,7.3,25.0,EXP,"RICHARDSON,LT & MILLER,DM (1960)",4.2e-05,20.0,EXP,"TOMLIN,C (1997)",5.14e-06,25.0,EXP,"ALTSCHUH,J ET AL. (1999)"
58-90-2,"2,3,4,6-TETRACHLOROPHENOL",23.0,25.0,EXP,CHEMICALS INSPECTION AND TESTING INSTITU (1992),0.000666,25.0,EXT,"BIDLEMAN,TF & RENBERG,L (1985)",8.84e-06,25.0,EST,VP/WSOL
59-50-7,3-METHYL-4-CHLOROPHENOL,3830.0,25.0,EXP,"KUHNE,R ET AL. (1995)",0.05,20.0,EXP,"MABEY,WR ET AL. (1981)",2.45e-06,25.0,EST,VP/WSOL
59-52-9,"1-Propanol, 2,3-dimercapto-",87000.0,,EXP,MERCK INDEX (1996),0.005,25.0,EXT,MERCK INDEX (1996),9.39e-09,25.0,EST,VP/WSOL
59-89-2,N-NITROSOMORPHOLINE,1000000.0,24.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.036,20.0,EST,"KLEIN,RG (1982)",2.45e-08,37.0,EXP,"MIRVISH,SS ET AL. (1976)"
60-00-4,ETHYLENEDIAMINE TETRAACETIC ACID,1000.0,25.0,EXP,"WOLF,K & GILBERT,PA (1992)",1.5e-12,25.0,EXT,"DAUBERT,TE & DANNER,RP (1999)",5.77e-16,25.0,EST,VP/WSOL
60-12-8,2-PHENYLETHANOL,22200.0,25.0,EXP,"VALVANI, SC ET AL. (1981)",0.0868,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",2.56e-07,25.0,EXP,"ABRAHAM,MH ET AL. (1994)"
60-24-2,"Ethanol, 2-mercapto-",1000000.0,,EXP,MERCK INDEX (1996),1.76,25.0,EXP,"DAUBERT,TE & DANNER,RP (1996)",1.8e-07,25.0,EST,VP/WSOL
60-29-7,DIETHYL ETHER,60400.0,25.0,EXP,"RIDDICK,JA ET AL. (1986)",538.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1995)",0.00123,25.0,EXP,"BOCEK,K (1976)"
60-51-5,DIMETHOATE,23300.0,25.0,EXP,"TOMLIN,C (2003)",1.88e-05,25.0,EXP,"TOMLIN,C (2003)",2.43e-10,25.0,EST,VP/WSOL
60-57-1,DIELDRIN,0.195,25.0,EXP,"BIGGAR,JW & RIGGS,RI (1974)",5.89e-06,25.0,EXP,"GRAYSON,BT & FOSBRAEY,LA (1982)",1e-05,25.0,EXP,"ALTSCHUH,J ET AL. (1999)"
61-82-5,AMITROLE,280000.0,25.0,EXP,USEPA RED; (1996),4.4e-07,25.0,EXP,USEPA RED; (1996),2.21e-13,25.0,EST,VP/WSOL
62-38-4,PHENYLMERCURIC ACETATE,4370.0,15.0,EXP,"TOMLIN,C (1994)",6e-06,20.0,EXP,"SUNTIO,LR ET AL. (1988)",5.66e-10,20.0,EST,VP/WSOL
62-44-2,P-PHENACETIN,766.0,25.0,EXP,"SEIDELL,A (1941)",6.92e-07,25.0,EXP,"WIEDEMANN,HG (1972)",2.13e-10,25.0,EST,VP/WSOL
62-50-0,ETHYL METHANESULFONATE,135000.0,25.0,EST,"MEYLAN,WM ET AL. (1996)",0.206,25.0,EXP,"JABER,HM ET AL. (1984B)",2.59e-07,25.0,EST,VP/WSOL
62-53-3,ANILINE,36000.0,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.49,25.0,EXP,"DAUBERT,TE & DANNER,RP (1985)",2.02e-06,25.0,EXP,"JAYASINGHE,DS ET AL. (1992)"
62-56-6,THIOUREA,142000.0,25.0,EXP,"SEIDELL,A (1941)",0.0028,25.0,EXT,"DAUBERT,TE & DANNER,RP (1989)",1.98e-09,25.0,EST,VP/WSOL
62-73-7,DICHLORVOS,8000.0,20.0,EXP,USDA PESTICIDE PROPERTIES DATABASE,0.0158,25.0,EXP,"TOMLIN,C (1994)",5.74e-07,25.0,EST,VP/WSOL
62-75-9,N-NITROSODIMETHYLAMINE,1000000.0,24.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",2.7,20.0,EXP,"KLEIN,RG (1982)",1.82e-06,37.0,EXP,"MIRVISH,SS ET AL. (1976)"
63-25-2,1-NAPHTHYL-N-METHYLCARBAMATE,110.0,22.0,EXP,USDA PESTICIDE PROPERTIES DATABASE,1.36e-06,25.0,EXP,"FERREIRA,GAL & SEIBER,JN (1981)",3.27e-09,25.0,EST,VP/WSOL
64-17-5,ETHANOL,1000000.0,25.0,EXP,"RIDDICK,JA ET AL. (1986)",59.3,25.0,EXP,"DAUBERT,TE & DANNER,RP (1985)",5e-06,25.0,EXP,"GAFFNEY,JS ET AL. (1987)"
64-18-6,FORMIC ACID,1000000.0,25.0,EXP,"RIDDICK,JA ET AL. (1986)",42.6,25.0,EXP,"DAUBERT,TE & DANNER,RP (1985)",1.67e-07,25.0,EXP,"GAFFNEY,JS ET AL. (1987)"
64-19-7,ACETIC ACID,1000000.0,25.0,EXP,MERCK INDEX (1996),15.7,25.0,EXP,"DAUBERT,TE & DANNER,RP (1985)",1e-07,25.0,EXP,"GAFFNEY,JS ET AL. (1987)"
64-67-5,DIETHYL SULFATE,7000.0,20.0,EXP,"MCCORMACK,WB & LAWES,BC (1983)",0.212,25.0,EXP,"DAUBERT,TE & DANNER,RP (1991)",6.14e-06,20.0,EST,VP/WSOL
65-85-0,BENZOIC ACID,3400.0,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.0007,25.0,EXP,"MCEACHERN,DM & SANDOVAL,O (1973)",3.81e-08,25.0,EST,VP/WSOL
66-22-8,URACIL,3600.0,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",4.67e-05,25.0,EXT,"BRUNETTI,B ET AL. (2000)",1.91e-09,25.0,EST,VP/WSOL
66-25-1,HEXANAL,5640.0,30.0,EXP,"DAVIS,PL (1968)",11.3,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.000213,25.0,EXP,"BUTTERY,RG ET AL. (1969)"
67-56-1,METHANOL,1000000.0,25.0,EXP,"RIDDICK,JA ET AL. (1986)",127.0,25.0,EXP,"BOUBLIK,T ET AL. (1984)",4.55e-06,25.0,EXP,"GAFFNEY,JS ET AL. (1987)"
67-63-0,ISOPROPANOL,1000000.0,25.0,EXP,"RIDDICK,JA ET AL. (1986)",45.4,25.0,EXP,"DAUBERT,TE & DANNER,RP (1985)",8.1e-06,25.0,EXP,"TAFT,RW ET AL. (1985)"
67-64-1,ACETONE,1000000.0,25.0,EXP,"RIDDICK,JA ET AL. (1986)",232.0,25.0,EXP,"ALARIE,Y ET AL. (1995)",3.5e-05,25.0,EXP,"BENKELBERG,HJ ET AL. (1995)"
67-66-3,CHLOROFORM,7950.0,25.0,EXP,"MACKAY,D ET AL. (1980)",197.0,25.0,EXP,"BOUBLIK,T ET AL. (1984)",0.00367,24.0,EXP,"GOSSETT,JM (1987)"
67-68-5,DIMETHYL SULFOXIDE,1000000.0,,EXP,"DORIGAN,J ET AL. (1976A);@2ND",0.61,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",1.51e-09,25.0,EXP,"TAFT,RW ET AL. (1985)"
67-72-1,HEXACHLOROETHANE,50.0,25.0,EXP,"HORVATH,AL ET AL. (1999)",0.21,20.0,EXP,"ARCHER,WL (1979)",0.00389,25.0,EXP,"MUNZ,C & ROBERTS,PV (1987)"
68-12-2,"N,N'-DIMETHYLFORMAMIDE",1000000.0,25.0,EXP,ISHOW (NA--) @2ND,3.87,25.0,EXP,"DAUBERT,TE & DANNER,RP (1985)",7.39e-08,25.0,EXP,"TAFT,RW ET AL. (1985)"
69-72-7,SALICYLIC ACID,2240.0,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",8.2e-05,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",7.34e-09,25.0,EST,VP/WSOL
71-23-8,1-PROPANOL,1000000.0,25.0,EXP,"RIDDICK,JA ET AL. (1986)",21.0,25.0,EXP,"RIDDICK,JA ET AL. (1986)",7.41e-06,25.0,EXP,"SNIDER,JR & DAWSON,GA (1985)"
71-36-3,1-BUTANOL,63200.0,25.0,EXP,"TEWARI,YB ET AL. (1982)",6.7,25.0,EXP,"BOUBLIK,T ET AL. (1984)",8.81e-06,25.0,EXP,"BUTTERY,RG ET AL. (1969)"
71-41-0,1-PENTANOL,22000.0,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",2.2,25.0,EXP,"RIDDICK,JA ET AL. (1986)",1.3e-05,25.0,EXP,"BUTLER,JAV ET AL. (1935)"
71-43-2,BENZENE,1790.0,25.0,EXP,"MAY,WE ET AL. (1983)",94.8,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.00555,25.0,EXP,"MACKAY,D ET AL. (1979)"
71-55-6,"1,1,1-TRICHLOROETHANE",1290.0,25.0,EXP,"HORVATH,AL ET AL. (1999)",124.0,25.0,EXP,"BOUBLIK,T ET AL. (1984)",0.0172,24.0,EXP,"GOSSETT,JM (1987)"
72-20-8,ENDRIN,0.25,25.0,EXP,"BIGGAR,JW & RIGGS,RI (1974)",3e-06,20.0,EXP,"NASH,RG (1983A)",6.36e-06,25.0,EXP,"ALTSCHUH,J ET AL. (1999)"
72-43-5,METHOXYCHLOR,0.1,25.0,EXP,"RICHARDSON,LT & MILLER,DM (1960)",2.58e-06,25.0,EST,"NEELY,WB & BLAU,GE (1985)",2.03e-07,25.0,EXP,"ALTSCHUH,J ET AL. (1999)"
72-54-8,"P,P'-DDD",0.09,25.0,EXP,"BIGGAR,JW & RIGGS,RI (1974)",1.35e-06,25.0,EXP,"HINKLEY,DA ET AL. (1990)",6.6e-06,25.0,EXP,"ALTSCHUH,J ET AL. (1999)"
72-55-9,"P,P'-DDE",0.04,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",6e-06,25.0,EXT,"BIDLEMAN,TF (1984)",4.16e-05,25.0,EXP,"ALTSCHUH,J ET AL. (1999)"
73-24-5,ADENINE,1030.0,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",4.46e-11,25.0,EXT,"ZIELENKIEWICZ,W (2000)",7.7e-15,25.0,EST,VP/WSOL
74-82-8,METHANE,22.0,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",466000.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1994)",0.658,25.0,EST,VP/WSOL
74-83-9,METHYL BROMIDE,15200.0,25.0,EXP,"HORVATH,AL (1982)",1620.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1985)",0.00734,25.0,EXP,"YATES,SR & GAN,J (1998)"
74-84-0,ETHANE,60.2,25.0,EXP,"MCAULIFFE,C (1966)",31500.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1994)",0.5,25.0,EST,VP/WSOL
74-85-1,ETHYLENE,131.0,25.0,EXP,"MCAULIFFE,C (1966)",52100.0,25.0,EXT,"DAUBERT,TE & DANNER,RP (1985)",0.228,25.0,EXP,"WASIK,SP & TSANG,W (1970)"
74-86-2,ACETYLENE,1200.0,20.0,EXP,"YALKOWSKY,SH & HE,Y (2003)",36500.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1998)",0.0217,25.0,EST,VP/WSOL
74-87-3,METHYL CHLORIDE,5320.0,25.0,EXP,"HORVATH,AL (1982)",4300.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1985)",0.00882,24.0,EXP,"GOSSETT,JM (1987)"
74-88-4,METHYL IODIDE,13800.0,20.0,EXP,"HORVATH,AL (1982)",405.0,25.0,EXP,"BOUBLIK,T ET AL. (1984)",0.00526,25.0,EXP,"HUNTER-SMITH,RJ ET AL. (1983)"
74-89-5,METHYLAMINE,1080000.0,25.0,EXP,"SCHWEIZER,AE ET AL. (1978)",2650.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1995)",1.11e-05,25.0,EXP,"CHRISTIE,AO & CRISP,DJ (1967)"
74-90-8,HYDROCYANIC ACID,1000000.0,25.0,EXP,"METCALF,RL (1978)",742.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1985)",0.000133,25.0,EXP,"GAFFNEY,JS ET AL. (1987)"
74-93-1,METHANETHIOL,15400.0,25.0,EXP,"HINE,J & MOOKERJEE,PK (1975)",1510.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1985)",0.00312,25.0,EST,VP/WSOL
74-95-3,DIBROMOMETHANE,11900.0,30.0,EXP,"GROSS,PM & SAYLOR,JH (1931)",44.4,25.0,EXP,"KUDCHADKER,AP ET AL. (1979)",0.000822,20.0,EXP,"MOORE,RM ET AL. (1995)"
74-96-4,BROMOETHANE,9000.0,25.0,EXP,"HORVATH,AL ET AL. (1999)",467.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.0074,25.0,EST,VP/WSOL
74-97-5,CHLOROBROMOMETHANE,16700.0,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",143.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.00146,25.0,EST,VP/WSOL
74-98-6,PROPANE,62.4,25.0,EXP,"YALKOWSKY,SH & HE,Y (2003)",7150.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1994)",0.707,25.0,EST,VP/WSOL
74-99-7,PROPYNE,3640.0,25.0,EXP,"MCAULIFFE,C (1966)",4310.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.011,25.0,EST,VP/WSOL
75-00-3,CHLOROETHANE,6710.0,25.0,EXP,"HORVATH,AL ET AL. (1999)",1010.0,20.0,EXP,"DAUBERT,TE & DANNER,RP (1985)",0.0111,24.0,EXP,"GOSSETT,JM (1987)"
75-01-4,VINYLCHLORIDE,8800.0,25.0,EXP,"DELASSUS,PT & SCHMIDT,DD (1981)",2980.0,25.0,EXT,"DAUBERT,TE & DANNER,RP (1985)",0.0278,24.0,EXP,"GOSSETT,JM (1987)"
75-03-6,IODOETHANE,4000.0,25.0,EXP,"HORVATH,AL ET AL. (1999)",136.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.00698,25.0,EST,VP/WSOL
75-04-7,ETHYLAMINE,1000000.0,25.0,EXP,MERCK INDEX (1996),1050.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1995)",1.23e-05,25.0,EXP,"CHRISTIE,AO & CRISP,DJ (1967)"
75-05-8,ACETONITRILE,1000000.0,25.0,EXP,"RIDDICK,JA ET AL. (1986)",88.8,25.0,EXP,"BOUBLIK,T ET AL. (1984)",3.45e-05,25.0,EXP,"GAFFNEY,JS ET AL. (1987)"
75-07-0,ACETALDEHYDE,1000000.0,25.0,EXP,"RIDDICK,JA ET AL. (1986)",902.0,25.0,EXP,"BOUBLIK,T ET AL. (1984)",6.67e-05,25.0,EXP,"GAFFNEY,JS ET AL. (1987)"
75-08-1,ETHYL MERCAPTAN,15600.0,25.0,EXP,"WAKITA,K ET AL. (1986)",529.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.00453,20.0,EXP,"VITENBERG,AG ET AL. (1975)"
75-09-2,DICHLOROMETHANE,13000.0,25.0,EXP,"HORVATH,AL (1982)",435.0,25.0,EXP,"BOUBLIK,T ET AL. (1984)",0.00325,25.0,EXP,"LEIGHTON,DTJR & CALO,JM (1981)"
75-11-6,METHYLENE IODIDE,833.0,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",1.2,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.000323,20.0,EXP,"MOORE,RM ET AL. (1995)"
75-12-7,FORMAMIDE,1000000.0,25.0,EXP,"EBERLING,CL (1980)",0.061,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",1.39e-09,25.0,EST,VP/WSOL
75-15-0,CARBON DISULFIDE,2160.0,20.0,EXP,"YALKOWSKY,SH & HE,Y (2003)",359.0,25.0,EXP,"YAWS,CL (1994)",0.0144,24.0,EXP,"ELLIOT,S (1989)"
75-18-3,DIMETHYLSULFIDE,22000.0,25.0,EXP,"SUZUKI,T (1991)",502.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.00161,25.0,EXP,"GAFFNEY,JS ET AL. (1987)"
75-19-4,CYCLOPROPANE,381.0,35.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",5410.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.79,25.0,EST,VP/WSOL
75-21-8,ETHYLENE OXIDE,1000000.0,25.0,EXP,"SCHULTZE,HC (1965)",1310.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1985)",0.000148,25.0,EXP,"CONWAY,RA ET AL. (1983)"
75-25-2,BROMOFORM,3100.0,25.0,EXP,"HORVATH,AL (1982)",5.4,25.0,EXT,"BOUBLIK,T ET AL. (1984)",0.000535,25.0,EXP,"MUNZ,C & ROBERTS,PV (1987)"
75-26-3,2-BROMOPROPANE,3180.0,20.0,EXP,"YALKOWSKY,SH & HE,Y (2003)",216.0,25.0,EXT,"DAUBERT,TE & DANNER,RP (1989)",0.011,25.0,EST,VP/WSOL
75-27-4,BROMODICHLOROMETHANE,3030.0,30.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",50.0,20.0,,"CALLAHAN,MA ET AL. (1979A)",0.00212,25.0,EXP,"WARNER,HP ET AL. (1987)"
75-28-5,2-METHYLPROPANE,48.8,25.0,EXP,"MCAULIFFE,C (1966)",2610.0,25.0,EXP,"RIDDICK,JA ET AL. (1986)",1.19,25.0,EST,VP/WSOL
75-29-6,2-CHLOROPROPANE,3100.0,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",515.0,25.0,EXP,"RIDDICK,JA ET AL. (1986)",0.0175,25.0,EST,VP/WSOL
75-30-9,2-IODOPROPANE,1400.0,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",43.1,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.00689,25.0,EST,VP/WSOL
75-31-0,ISOPROPYLAMINE,1000000.0,25.0,EXP,"DORIGAN,J ET AL. (1976); @2ND",580.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",4.51e-05,25.0,EST,VP/WSOL
75-34-3,"1,1-DICHLOROETHANE",5040.0,25.0,EXP,"HORVATH,AL ET AL. (1999)",227.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1985)",0.00562,24.0,EXP,"GOSSETT,JM (1987)"
75-35-4,"1,1-DICHLOROETHENE",2420.0,25.0,EXP,"HORVATH,AL ET AL. (1999)",600.0,25.0,EXP,"BOUBLIK,T ET AL. (1984)",0.0261,24.0,EXP,"GOSSETT,JM (1987)"
75-37-6,"1,1-DIFLUOROETHANE",3200.0,21.0,EXP,"HORVATH,AL (1982)",4550.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.0203,25.0,EXP,"HINE,J & MOOKERJEE,PK (1975)"
75-38-7,"1,1-DIFLUOROETHENE",169.0,25.0,EXP,"HORVATH,AL (1982)",30000.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.379,25.0,EST,VP/WSOL
75-43-4,DICHLOROFLUOROMETHANE,18800.0,25.0,EXP,"HORVATH,AL (1982)",1360.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.0108,25.0,EST,VP/WSOL
75-44-5,PHOSGENE,5940.0,25.0,EST,from HL & VP,1420.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1985)",0.0167,25.0,EXP,"DEBRUYN,WJ ET AL. (1995)"
75-45-6,CHLORODIFLUOROMETHANE,2770.0,25.0,EXP,"HORVATH,AL (1982)",7250.0,25.0,EXP,"PERRY,RH & GREEN,D (1984)",0.0406,22.0,EXP,"CHANG,WK & CRIDDLE,CS (1995)"
