CAS Number,Name,WSol (mg/L),WS Temp,WS type,Wsol Reference,VP (mm Hg),VP Temp,VP type,VP Reference,HenryLC (atm-m3/mole),HLC Temp,HLC type,HenryLC Reference
959-98-8,A-ENDOSULFAN,0.51,20.0,EXP,"BOWMAN,BT & SANS,WW (1983)",3e-06,25.0,EXP,"HINCKLEY,DA ET AL. (1990)",7.09e-06,25.0,EXP,"ALTSCHUH,J ET AL. (1999)"
961-11-5,STIROFOS,11.0,20.0,EXP,MERCK INDEX (1983),4.2e-08,20.0,EXP,MERCK INDEX (1983),1.84e-09,20.0,EST,VP/WSOL
961-68-2,"2,4-DINITRO-N-PHENYLBENZENAMINE",38.0,15.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",3e-09,25.0,EXT,"BAUGHMAN,GL & PERENICH,TA (1988)",7.75e-10,25.0,EST,VP/WSOL
994-05-8,METHYL-T-AMYL ETHER,2640.0,25.0,EST,"MEYLAN,WM ET AL. (1996)",75.2,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.00132,25.0,EXP,"PETER,H & SCHMIDT,TC (2004)"
999-81-5,CHLORMEQUAT CHLORIDE,996000.0,,EXP,"BAKER,EA ET AL. (1992)",7.5e-08,20.0,EXP,"WORTHING,CR & WALKER,SB (1987)",1.6e-14,20.0,EST,VP/WSOL
1002-16-0,1-PENTYL NITRATE,360.0,25.0,EXP,"HAUFF,K ET AL. (1998)",5.07,25.0,EXP,"HAUFF,K ET AL. (1998)",0.00166,25.0,EXP,"HAUFF,K ET AL. (1998)"
1014-69-3,DESMETRYNE,580.0,20.0,EXP,"YALKOWSKY,SH & HE,Y (2003)",9.98e-07,20.0,EXP,"TOMLIN,C (1994)",4.83e-10,20.0,EST,VP/WSOL
1014-70-6,SIMETRYN,450.0,22.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",7.1e-07,25.0,EXP,"AUGUSTIJN-BECKERS,PWM ET AL. (1994)",4.43e-10,25.0,EST,VP/WSOL
1024-57-3,HEPTACHLOR EPOXIDE,0.2,25.0,EXP,"BIGGAR,JW & RIGGS,RI (1974)",1.95e-05,30.0,EXP,"NASH,RG (1983A)",2.1e-05,25.0,EXP,"ALTSCHUH,J ET AL. (1999)"
1031-07-8,ENDOSULFAN SULFATE,0.48,20.0,EXP,"SHIU,WY ET AL. (1990)",2.8e-07,25.0,EXT,"HINCKLEY,DA ET AL. (1990)",3.25e-07,25.0,EST,VP/WSOL
1067-14-7,TRIETHYLCHLOROLEAD,11200.0,29.0,EXP,"WANG,Y ET AL. (1996B)",1.2e-06,25.0,EXP,"WANG,Y ET AL. (1996B)",4.65e-11,25.0,EST,VP/WSOL
